"mean_expr","var_expr","correlation.correlation","pvalue.pvalue","gene","fdr","abs_correlation"
2.52257090444762,1.87306573654702,0.520163510721914,1.95770582274497e-295,"Mbp",1.57086315217056e-291,0.520163510721914
1.0356674570379,1.5496275566924,0.517552580840463,5.47094512462065e-292,"Csrp2",2.19494318399781e-288,0.517552580840463
0.447884223511298,0.762382559057355,0.50186655320749,6.64220526695066e-272,"Emid1",1.77656850206707e-268,0.50186655320749
3.28759190964968,1.7360762663684,0.479167755382435,1.22880162764239e-244,"Mpz",2.46497606505064e-241,0.479167755382435
2.29487459059314,1.93297590559827,0.467536974716506,1.9197465124645e-231,"Pmp22",3.08080920320303e-228,0.467536974716506
1.92931895504664,1.67100945555535,0.466541415661437,2.44923934099779e-230,"Cuedc2",3.27544941202772e-227,0.466541415661437
0.80504838876201,1.0545720308222,0.463554688840944,4.83642394975169e-227,"Cldn19",5.54392368182965e-224,0.463554688840944
1.49125787498011,3.08373048116478,0.459553879423634,1.11643327166134e-222,"Cdkn1c",1.11978257147633e-219,0.459553879423634
0.880269428028156,1.24782141064947,0.451671813686688,2.9885482815514e-214,"Prx",2.66445682346316e-211,0.451671813686688
0.446501141410911,0.794070565822853,0.448716932255837,3.78519360511002e-211,"Mag",3.03723934874028e-208,0.448716932255837
0.293622158080411,0.523273679131559,0.445800812822854,4.0745337088636e-208,"Ncmap",2.97218713453832e-205,0.445800812822854
0.70626386696432,1.00177295224477,0.443064090862737,2.68361841920514e-205,"Mpp6",1.79444618297517e-202,0.443064090862737
0.343948328857019,0.624020160927346,0.428218899127781,1.88251104656701e-190,"Fxyd6",1.16194374135798e-187,0.428218899127781
1.26533551702078,1.53780389881643,-0.422660404393711,4.41614422725417e-185,"Ptn",2.53108151996339e-182,0.422660404393711
3.19341254734019,1.61619773235668,-0.411516123208423,1.29321923972678e-174,"Dbi",6.91786078637848e-172,0.411516123208423
1.37172835074087,1.57085506484725,0.39789174890097,2.38682476690252e-162,"Bzw2",1.19699262060162e-159,0.39789174890097
0.818393986306408,0.99555413943293,0.344293700474281,2.18243946111876e-119,"Pllp",1.03011142564805e-116,0.344293700474281
0.15298933877944,0.246885133362594,0.33929174179544,8.74583531713552e-116,"Slc36a2",3.89869903248308e-113,0.33929174179544
2.43644478004949,1.4401870757494,0.336850206927336,4.74635308928983e-114,"Cryab",2.0044598520243e-111,0.336850206927336
